Subject_Description_9,Subject_or_Unit_7,Subject_Objective_9,Subject_Objective_14,Subject_Objective_39,Subject_Objective_35,Faculty,Subject_Description_34,Subject_or_Unit_15,Subject_Objective_7,Subject_Objective_30,Subject_Description_3,Prerequisite_2_grade,Subject_Objective_3,Subject_Objective_8,Description,Subject_Objective_32,Subject_Description_8,Subject_Objective_22,Prerequisite_1,City,Subject_or_Unit_12,Subject_or_Unit_10,Prerequisite_1_grade,Subject_or_Unit_34,Prerequisite_3_grade,Subject_Description_29,Subject_or_Unit_27,Subject_Objective_29,Currency,Availability,Subject_or_Unit_4,Subject_or_Unit_36,Subject_Objective_31,Subject_Objective_5,Subject_Objective_34,Subject_Description_11,Subject_Description_19,Subject_or_Unit_31,University,Subject_or_Unit_9,Subject_Description_33,Subject_Description_28,Subject_Description_7,Subject_Description_39,Prerequisite_2,Subject_or_Unit_29,Subject_or_Unit_1,Career_Outcomes,Subject_or_Unit_5,Subject_Description_22,Int_Fees,Subject_or_Unit_38,Subject_or_Unit_24,Subject_Description_15,Course_Lang,Subject_Objective_15,Part_Time,Duration_Time,Subject_Description_24,Subject_Objective_4,Subject_Objective_13,Subject_Description_30,Subject_Objective_27,Subject_or_Unit_22,Subject_Description_31,Subject_Description_32,Subject_Objective_12,Local_Fees,Country,Subject_Objective_18,Subject_Description_37,Online,Subject_Description_14,Subject_Description_2,Subject_or_Unit_25,Subject_or_Unit_39,Subject_or_Unit_21,Subject_Objective_10,Subject_Objective_24,Distance,Subject_Description_5,Subject_or_Unit_35,Subject_Description_25,Subject_Objective_25,Subject_Objective_2,Subject_Description_4,Subject_or_Unit_17,Subject_Objective_6,Subject_Description_20,Subject_Objective_20,Currency_Time,Subject_Description_1,Face_to_Face,Subject_Description_27,Subject_or_Unit_28,Subject_or_Unit_32,Subject_Objective_36,Subject_or_Unit_33,Subject_or_Unit_16,Blended,Subject_Description_12,Subject_or_Unit_20,Subject_or_Unit_3,Subject_or_Unit_37,Subject_Description_38,Subject_Objective_11,Subject_or_Unit_19,Subject_or_Unit_11,Subject_Description_35,Subject_Objective_37,Prerequisite_3,Subject_Objective_40,Subject_Description_17,Subject_Description_26,Subject_or_Unit_30,Subject_Description_13,Subject_or_Unit_18,Subject_Description_23,Subject_Objective_16,Subject_or_Unit_8,Subject_or_Unit_23,Subject_or_Unit_13,Subject_Description_21,Course,Subject_or_Unit_2,Subject_Objective_21,Subject_or_Unit_26,Subject_Objective_17,Subject_Objective_19,Subject_Objective_28,Subject_or_Unit_14,Subject_Description_6,Full_Time,Subject_Description_36,Subject_Description_10,Subject_or_Unit_40,Subject_Objective_23,Subject_or_Unit_6,Subject_Description_40,Level_Code,Subject_Objective_38,Subject_Description_18,Subject_Objective_33,Offline,Website,Subject_Description_16,Duration,Remarks,Subject_Objective_26
, Strategic Management*  ,,,,,Computer Science & Information Technology,,,,,,6.5,,,"Drive your career forward and study a flexible online MBA for the real world. The AIB MBA provides practical learning that can be immediately applied in the workplace. One of the best online MBA’s for busy working people, AIB’s Master of Business Administration degree is affordable, fully accredited in Australia, globally recognised and industry aligned. Join Australia’s No.1 Online MBA provider!",,,,,Adelaide, Human Resource Management  , Entrepreneurship  ,,,,,,,AUD,A, Operations Management  ,,,,,,,,Australian Institute of Business, Generic  ,,,,,IELTS,, Leadership (First Subject)  ,, Financial Management  ,,,,,,English,,,Months,,,,,,,,,,"37,764",Australia,,,yes,,,,,,,,no,,,,,,,,,,,year,,no,,,,,,,no,,, Corporate Governance  ,,,,, Finance  ,,,,,,,,,,,, Project Management*  ,, Marketing Management  ,,AIB | MBA, Marketing Management (Second Subject)  ,,,,,, Logistics and Supply Chain Management  ,,,,,,, Strategic Human Resource Management  ,,PG,,,,no,https://www.aib.edu.au/courses/aib-mba/,,18,,
, Strategic Management*  ,,,,,Computer Science & Information Technology,,,,,,6.5,,,"Drive your career forward and study a flexible online MBA for the real world. The AIB MBA provides practical learning that can be immediately applied in the workplace. One of the best online MBA’s for busy working people, AIB’s Master of Business Administration degree is affordable, fully accredited in Australia, globally recognised and industry aligned. Join Australia’s No.1 Online MBA provider!",,,,,Online, Human Resource Management  , Entrepreneurship  ,,,,,,,AUD,A, Operations Management  ,,,,,,,,Australian Institute of Business, Generic  ,,,,,IELTS,, Leadership (First Subject)  ,, Financial Management  ,,,,,,English,,,Months,,,,,,,,,,"37,764",Australia,,,yes,,,,,,,,no,,,,,,,,,,,year,,no,,,,,,,no,,, Corporate Governance  ,,,,, Finance  ,,,,,,,,,,,, Project Management*  ,, Marketing Management  ,,AIB | MBA, Marketing Management (Second Subject)  ,,,,,, Logistics and Supply Chain Management  ,,,,,,, Strategic Human Resource Management  ,,PG,,,,no,https://www.aib.edu.au/courses/aib-mba/,,18,,
, Strategic Management*  ,,,,,Business & Commerce & Finance & Accounting,,,,,,6.5,,,AIB’s online Graduate Certificate in Management (GCM) is an accredited postgraduate qualification that is highly recognised internationally.,,,,,Adelaide, Human Resource Management  , Entrepreneurship  ,,,,,,,AUD,A, Corporate Governance  ,,,,,,,,Australian Institute of Business, Generic  ,,,,,IELTS,, Leadership (First Subject)  ,, Financial Management  ,,,,,,English,,,Months,,,,,,,,,,"37,764",Australia,,,yes,,,,,,,,no,,,,,,,,,,,year,,no,,,,,,,no,,, Operations Management  ,,,,, Finance  ,,,,,,,,,,,, Project Management*  ,, Marketing Management  ,,Graduate Certificate in Management (GCM), Marketing Management (Second Subject)  ,,,,,, Logistics and Supply Chain Management  ,,,,,,, Strategic Human Resource Management  ,,PG,,,,no,https://www.aib.edu.au/courses/aib-mba/graduate-certificate-in-management/,,8,,
, Strategic Management*  ,,,,,Business & Commerce & Finance & Accounting,,,,,,6.5,,,AIB’s online Graduate Certificate in Management (GCM) is an accredited postgraduate qualification that is highly recognised internationally.,,,,,Online, Human Resource Management  , Entrepreneurship  ,,,,,,,AUD,A, Corporate Governance  ,,,,,,,,Australian Institute of Business, Generic  ,,,,,IELTS,, Leadership (First Subject)  ,, Financial Management  ,,,,,,English,,,Months,,,,,,,,,,"37,764",Australia,,,yes,,,,,,,,no,,,,,,,,,,,year,,no,,,,,,,no,,, Operations Management  ,,,,, Finance  ,,,,,,,,,,,, Project Management*  ,, Marketing Management  ,,Graduate Certificate in Management (GCM), Marketing Management (Second Subject)  ,,,,,, Logistics and Supply Chain Management  ,,,,,,, Strategic Human Resource Management  ,,PG,,,,no,https://www.aib.edu.au/courses/aib-mba/graduate-certificate-in-management/,,8,,
, Strategic Management*  ,,,,,Business & Commerce & Finance & Accounting,,,,,,6.5,,,The Master of Management (MMgt) offers working managers an ideal opportunity to combine an element of coursework at Master’s level with an in-depth research project. The research undertaken is invariably designed to be useful to the candidate’s organisation.,,,,,Adelaide, Human Resource Management  , Entrepreneurship  ,,,,,,,AUD,A, Corporate Governance  ,,,,,,,,Australian Institute of Business, Generic  ,,,,,IELTS,, Leadership (First Subject)  ,, Financial Management  ,,,,,,English,,,Months,,,,,,,,,,"37,764",Australia,,,yes,,,,,,,,no,,,,,,,,,,,year,,yes,,,,,,,no,,, Operations Management  ,,,,, Finance  ,,,,,,,,,,,, Project Management*  ,, Marketing Management  ,,Master of Management, Marketing Management (Second Subject)  ,,,,,, Logistics and Supply Chain Management  ,,,,,,, Strategic Human Resource Management  ,,PG,,,,yes,https://www.aib.edu.au/courses/master-of-management/,,18,,
, Strategic Management*  ,,,,,Business & Commerce & Finance & Accounting,,,,,,6.5,,,"The Doctor of Business Administration (DBA) is a research degree programme designed for experienced managers. It offers an opportunity to take your business and management knowledge and understanding to a higher level and, importantly, to relate it closely to your workplace needs. Like the PhD, the DBA offers a doctoral qualification but, in this case, one that is more directly linked to the world of work.",,,,,Adelaide, Human Resource Management  , Entrepreneurship  ,,,,,,,AUD,A, Corporate Governance  ,,,,,,,,Australian Institute of Business, Generic  ,,,,,IELTS,, Leadership (First Subject)  ,, Financial Management  ,,,,,,English,,,Years,,,,,,,,,,"37,764",Australia,,,yes,,,,,,,,no,,,,,,,,,,,year,,yes,,,,,,,no,,, Operations Management  ,,,,, Finance  ,,,,,,,,,,,, Project Management*  ,, Marketing Management  ,,Doctor of Business Administration, Marketing Management (Second Subject)  ,,,,,, Logistics and Supply Chain Management  ,,,,,,, Strategic Human Resource Management  ,,DPG,,,,yes,https://www.aib.edu.au/courses/doctor-of-business-administration/,,3,,
, Strategic Management*  ,,,,,Humanities and Social Science,,,,,,6.5,,,"The Doctor of Philosophy (PhD) is the traditional doctoral qualification that is associated with a wide range of subjects in universities across the world. It offers an opportunity for research to be undertaken in depth and for the outcome to be assessed as a contribution to knowledge. Although it has a theoretical dimension, the research programme can also enable managers to explore specialist areas of practical application.",,,,,Adelaide, Human Resource Management  , Entrepreneurship  ,,,,,,,AUD,A, Corporate Governance  ,,,,,,,,Australian Institute of Business, Generic  ,,,,,IELTS,, Leadership (First Subject)  ,, Financial Management  ,,,,,,English,,,Years,,,,,,,,,,"37,764",Australia,,,yes,,,,,,,,no,,,,,,,,,,,year,,yes,,,,,,,no,,, Operations Management  ,,,,, Finance  ,,,,,,,,,,,, Project Management*  ,, Marketing Management  ,,Doctor of Philosophy (PhD), Marketing Management (Second Subject)  ,,,,,, Logistics and Supply Chain Management  ,,,,,,, Strategic Human Resource Management  ,,DPG,,,,yes,https://www.aib.edu.au/courses/doctor-of-philosophy-phd/,,3,,
, Strategic Management*  ,,,,,Business & Commerce & Finance & Accounting,,,,,,6.5,,,Our 30-Day Masterclass in Business Consulting is an intensive short course that equips you to get ahead in your consulting career.,,,,,Adelaide, Human Resource Management  , Entrepreneurship  ,,,,,,,AUD,A, Corporate Governance  ,,,,,,,,Australian Institute of Business, Generic  ,,,,,IELTS,, Leadership (First Subject)  ,, Financial Management  ,,,,,,English,,,Month,,,,,,,,,,"1,995",Australia,,,yes,,,,,,,,no,,,,,,,,,,,year,,no,,,,,,,no,,, Operations Management  ,,,,, Finance  ,,,,,,,,,,,, Project Management*  ,, Marketing Management  ,,30-Day Masterclass: Business Consulting, Marketing Management (Second Subject)  ,,,,,, Logistics and Supply Chain Management  ,,,,,,, Strategic Human Resource Management  ,,PG,,,,no,https://www.aib.edu.au/courses/30-day-masterclass-business-consulting/,,1,,
, Strategic Management*  ,,,,,Business & Commerce & Finance & Accounting,,,,,,6.5,,,Our 30-Day Masterclass in Business Consulting is an intensive short course that equips you to get ahead in your consulting career.,,,,,Online, Human Resource Management  , Entrepreneurship  ,,,,,,,AUD,A, Corporate Governance  ,,,,,,,,Australian Institute of Business, Generic  ,,,,,IELTS,, Leadership (First Subject)  ,, Financial Management  ,,,,,,English,,,Month,,,,,,,,,,"1,995",Australia,,,yes,,,,,,,,no,,,,,,,,,,,year,,no,,,,,,,no,,, Operations Management  ,,,,, Finance  ,,,,,,,,,,,, Project Management*  ,, Marketing Management  ,,30-Day Masterclass: Business Consulting, Marketing Management (Second Subject)  ,,,,,, Logistics and Supply Chain Management  ,,,,,,, Strategic Human Resource Management  ,,PG,,,,no,https://www.aib.edu.au/courses/30-day-masterclass-business-consulting/,,1,,
, Strategic Management*  ,,,,,Business & Commerce & Finance & Accounting,,,,,,6.5,,,AIB’s 30-Day Masterclass: Finance for Non-Financial Managers is designed to bring every-day managers up to speed on their financial literacy and empower you to make confident financial decisions.,,,,,Adelaide, Human Resource Management  , Entrepreneurship  ,,,,,,,AUD,A, Corporate Governance  ,,,,,,,,Australian Institute of Business, Generic  ,,,,,IELTS,, Leadership (First Subject)  ,, Financial Management  ,,,,,,English,,,Month,,,,,,,,,,"1,995",Australia,,,yes,,,,,,,,no,,,,,,,,,,,year,,no,,,,,,,no,,, Operations Management  ,,,,, Finance  ,,,,,,,,,,,, Project Management*  ,, Marketing Management  ,,30-Day Masterclass: Finance for Non-Financial Managers, Marketing Management (Second Subject)  ,,,,,, Logistics and Supply Chain Management  ,,,,,,, Strategic Human Resource Management  ,,PG,,,,no,https://www.aib.edu.au/courses/30-day-masterclass-finance/,,1,,
